"subject"	"group"	"part"	"sequence"	"weight"	"response"
1	2	1	"1"	11	5
1	2	1	"1"	12	7
1	2	1	"1"	13	8
1	2	1	"1"	14	8
1	2	1	"1"	15	5
1	2	1	"2"	11	4
1	2	1	"2"	12	2
1	2	1	"2"	13	5
1	2	1	"2"	14	4
1	2	1	"2"	15	8
1	2	1	"3"	11	4
1	2	1	"3"	12	6
1	2	1	"3"	13	8
1	2	1	"3"	14	5
1	2	1	"3"	15	8
1	2	1	"4"	11	1
1	2	1	"4"	12	2
1	2	1	"4"	13	1
1	2	1	"4"	14	6
1	2	1	"4"	15	9
1	2	1	"5"	11	1
1	2	1	"5"	12	6
1	2	1	"5"	13	2
1	2	1	"5"	14	9
1	2	1	"5"	15	8
1	2	1	"6"	11	4
1	2	1	"6"	12	4
1	2	1	"6"	13	9
1	2	1	"6"	14	6
1	2	1	"6"	15	5
1	2	1	"7"	11	5
1	2	1	"7"	12	6
1	2	1	"7"	13	5
1	2	1	"7"	14	2
1	2	1	"7"	15	5
1	2	1	"8"	11	3
1	2	1	"8"	12	8
1	2	1	"8"	13	5
1	2	1	"8"	14	6
1	2	1	"8"	15	9
1	2	1	"9"	11	7
1	2	1	"9"	12	8
1	2	1	"9"	13	8
1	2	1	"9"	14	8
1	2	1	"9"	15	9
1	2	1	"10"	11	5
1	2	1	"10"	12	8
1	2	1	"10"	13	3
1	2	1	"10"	14	4
1	2	1	"10"	15	9
1	2	2	"1"	6	4
1	2	2	"1"	7	2
1	2	2	"1"	8	5
1	2	2	"1"	9	5
1	2	2	"1"	10	1
1	2	2	"2"	6	8
1	2	2	"2"	7	8
1	2	2	"2"	8	5
1	2	2	"2"	9	6
1	2	2	"2"	10	8
1	2	2	"3"	6	2
1	2	2	"3"	7	7
1	2	2	"3"	8	6
1	2	2	"3"	9	5
1	2	2	"3"	10	6
1	2	2	"4"	6	7
1	2	2	"4"	7	8
1	2	2	"4"	8	8
1	2	2	"4"	9	9
1	2	2	"4"	10	9
1	2	2	"5"	6	6
1	2	2	"5"	7	8
1	2	2	"5"	8	7
1	2	2	"5"	9	9
1	2	2	"5"	10	9
1	2	2	"6"	6	8
1	2	2	"6"	7	7
1	2	2	"6"	8	6
1	2	2	"6"	9	6
1	2	2	"6"	10	9
1	2	2	"7"	6	5
1	2	2	"7"	7	5
1	2	2	"7"	8	7
1	2	2	"7"	9	9
1	2	2	"7"	10	8
1	2	2	"8"	6	4
1	2	2	"8"	7	5
1	2	2	"8"	8	7
1	2	2	"8"	9	6
1	2	2	"8"	10	8
1	2	2	"9"	6	7
1	2	2	"9"	7	6
1	2	2	"9"	8	7
1	2	2	"9"	9	9
1	2	2	"9"	10	8
1	2	2	"10"	6	4
1	2	2	"10"	7	4
1	2	2	"10"	8	6
1	2	2	"10"	9	8
1	2	2	"10"	10	7
2	1	1	"1"	1	3
2	1	1	"1"	2	3
2	1	1	"1"	3	7
2	1	1	"1"	4	5
2	1	1	"1"	5	6
2	1	1	"2"	1	2
2	1	1	"2"	2	6
2	1	1	"2"	3	2
2	1	1	"2"	4	2
2	1	1	"2"	5	8
2	1	1	"3"	1	3
2	1	1	"3"	2	8
2	1	1	"3"	3	9
2	1	1	"3"	4	9
2	1	1	"3"	5	9
2	1	1	"4"	1	2
2	1	1	"4"	2	6
2	1	1	"4"	3	8
2	1	1	"4"	4	8
2	1	1	"4"	5	9
2	1	1	"5"	1	6
2	1	1	"5"	2	6
2	1	1	"5"	3	6
2	1	1	"5"	4	5
2	1	1	"5"	5	9
2	1	1	"6"	1	4
2	1	1	"6"	2	8
2	1	1	"6"	3	4
2	1	1	"6"	4	8
2	1	1	"6"	5	9
2	1	1	"7"	1	5
2	1	1	"7"	2	5
2	1	1	"7"	3	6
2	1	1	"7"	4	8
2	1	1	"7"	5	8
2	1	1	"8"	1	2
2	1	1	"8"	2	6
2	1	1	"8"	3	4
2	1	1	"8"	4	8
2	1	1	"8"	5	9
2	1	1	"9"	1	5
2	1	1	"9"	2	4
2	1	1	"9"	3	6
2	1	1	"9"	4	8
2	1	1	"9"	5	9
2	1	1	"10"	1	5
2	1	1	"10"	2	5
2	1	1	"10"	3	4
2	1	1	"10"	4	6
2	1	1	"10"	5	9
2	1	2	"1"	6	8
2	1	2	"1"	7	6
2	1	2	"1"	8	8
2	1	2	"1"	9	9
2	1	2	"1"	10	9
2	1	2	"2"	6	6
2	1	2	"2"	7	4
2	1	2	"2"	8	9
2	1	2	"2"	9	9
2	1	2	"2"	10	8
2	1	2	"3"	6	8
2	1	2	"3"	7	6
2	1	2	"3"	8	6
2	1	2	"3"	9	8
2	1	2	"3"	10	9
2	1	2	"4"	6	5
2	1	2	"4"	7	6
2	1	2	"4"	8	8
2	1	2	"4"	9	8
2	1	2	"4"	10	9
2	1	2	"5"	6	6
2	1	2	"5"	7	5
2	1	2	"5"	8	9
2	1	2	"5"	9	9
2	1	2	"5"	10	9
2	1	2	"6"	6	6
2	1	2	"6"	7	4
2	1	2	"6"	8	5
2	1	2	"6"	9	6
2	1	2	"6"	10	9
2	1	2	"7"	6	2
2	1	2	"7"	7	4
2	1	2	"7"	8	6
2	1	2	"7"	9	9
2	1	2	"7"	10	6
2	1	2	"8"	6	5
2	1	2	"8"	7	5
2	1	2	"8"	8	6
2	1	2	"8"	9	9
2	1	2	"8"	10	8
2	1	2	"9"	6	8
2	1	2	"9"	7	4
2	1	2	"9"	8	8
2	1	2	"9"	9	5
2	1	2	"9"	10	8
2	1	2	"10"	6	5
2	1	2	"10"	7	6
2	1	2	"10"	8	4
2	1	2	"10"	9	6
2	1	2	"10"	10	9
3	1	1	"1"	1	3
3	1	1	"1"	2	6
3	1	1	"1"	3	8
3	1	1	"1"	4	9
3	1	1	"1"	5	9
3	1	1	"2"	1	7
3	1	1	"2"	2	7
3	1	1	"2"	3	4
3	1	1	"2"	4	8
3	1	1	"2"	5	9
3	1	1	"3"	1	6
3	1	1	"3"	2	5
3	1	1	"3"	3	8
3	1	1	"3"	4	9
3	1	1	"3"	5	9
3	1	1	"4"	1	6
3	1	1	"4"	2	8
3	1	1	"4"	3	7
3	1	1	"4"	4	8
3	1	1	"4"	5	9
3	1	1	"5"	1	4
3	1	1	"5"	2	6
3	1	1	"5"	3	7
3	1	1	"5"	4	7
3	1	1	"5"	5	9
3	1	1	"6"	1	5
3	1	1	"6"	2	6
3	1	1	"6"	3	8
3	1	1	"6"	4	8
3	1	1	"6"	5	9
3	1	1	"7"	1	5
3	1	1	"7"	2	4
3	1	1	"7"	3	9
3	1	1	"7"	4	9
3	1	1	"7"	5	9
3	1	1	"8"	1	5
3	1	1	"8"	2	6
3	1	1	"8"	3	8
3	1	1	"8"	4	9
3	1	1	"8"	5	9
3	1	1	"9"	1	8
3	1	1	"9"	2	7
3	1	1	"9"	3	7
3	1	1	"9"	4	8
3	1	1	"9"	5	9
3	1	1	"10"	1	8
3	1	1	"10"	2	4
3	1	1	"10"	3	9
3	1	1	"10"	4	9
3	1	1	"10"	5	9
3	1	2	"1"	6	9
3	1	2	"1"	7	9
3	1	2	"1"	8	9
3	1	2	"1"	9	9
3	1	2	"1"	10	9
3	1	2	"2"	6	9
3	1	2	"2"	7	9
3	1	2	"2"	8	9
3	1	2	"2"	9	8
3	1	2	"2"	10	9
3	1	2	"3"	6	8
3	1	2	"3"	7	9
3	1	2	"3"	8	7
3	1	2	"3"	9	7
3	1	2	"3"	10	9
3	1	2	"4"	6	6
3	1	2	"4"	7	9
3	1	2	"4"	8	8
3	1	2	"4"	9	8
3	1	2	"4"	10	9
3	1	2	"5"	6	8
3	1	2	"5"	7	8
3	1	2	"5"	8	7
3	1	2	"5"	9	8
3	1	2	"5"	10	9
3	1	2	"6"	6	6
3	1	2	"6"	7	7
3	1	2	"6"	8	9
3	1	2	"6"	9	7
3	1	2	"6"	10	8
3	1	2	"7"	6	8
3	1	2	"7"	7	8
3	1	2	"7"	8	8
3	1	2	"7"	9	9
3	1	2	"7"	10	7
3	1	2	"8"	6	7
3	1	2	"8"	7	7
3	1	2	"8"	8	9
3	1	2	"8"	9	8
3	1	2	"8"	10	9
3	1	2	"9"	6	8
3	1	2	"9"	7	7
3	1	2	"9"	8	9
3	1	2	"9"	9	7
3	1	2	"9"	10	9
3	1	2	"10"	6	5
3	1	2	"10"	7	6
3	1	2	"10"	8	7
3	1	2	"10"	9	8
3	1	2	"10"	10	9
4	2	1	"1"	11	5
4	2	1	"1"	12	5
4	2	1	"1"	13	6
4	2	1	"1"	14	7
4	2	1	"1"	15	7
4	2	1	"2"	11	8
4	2	1	"2"	12	8
4	2	1	"2"	13	7
4	2	1	"2"	14	9
4	2	1	"2"	15	9
4	2	1	"3"	11	7
4	2	1	"3"	12	6
4	2	1	"3"	13	8
4	2	1	"3"	14	8
4	2	1	"3"	15	7
4	2	1	"4"	11	6
4	2	1	"4"	12	6
4	2	1	"4"	13	8
4	2	1	"4"	14	8
4	2	1	"4"	15	7
4	2	1	"5"	11	7
4	2	1	"5"	12	7
4	2	1	"5"	13	8
4	2	1	"5"	14	8
4	2	1	"5"	15	9
4	2	1	"6"	11	6
4	2	1	"6"	12	8
4	2	1	"6"	13	7
4	2	1	"6"	14	7
4	2	1	"6"	15	8
4	2	1	"7"	11	6
4	2	1	"7"	12	9
4	2	1	"7"	13	8
4	2	1	"7"	14	7
4	2	1	"7"	15	9
4	2	1	"8"	11	5
4	2	1	"8"	12	5
4	2	1	"8"	13	7
4	2	1	"8"	14	5
4	2	1	"8"	15	7
4	2	1	"9"	11	6
4	2	1	"9"	12	7
4	2	1	"9"	13	7
4	2	1	"9"	14	8
4	2	1	"9"	15	8
4	2	1	"10"	11	7
4	2	1	"10"	12	7
4	2	1	"10"	13	8
4	2	1	"10"	14	9
4	2	1	"10"	15	8
4	2	2	"1"	6	4
4	2	2	"1"	7	4
4	2	2	"1"	8	6
4	2	2	"1"	9	5
4	2	2	"1"	10	7
4	2	2	"2"	6	7
4	2	2	"2"	7	6
4	2	2	"2"	8	7
4	2	2	"2"	9	8
4	2	2	"2"	10	8
4	2	2	"3"	6	6
4	2	2	"3"	7	5
4	2	2	"3"	8	6
4	2	2	"3"	9	7
4	2	2	"3"	10	8
4	2	2	"4"	6	5
4	2	2	"4"	7	6
4	2	2	"4"	8	5
4	2	2	"4"	9	7
4	2	2	"4"	10	6
4	2	2	"5"	6	5
4	2	2	"5"	7	6
4	2	2	"5"	8	7
4	2	2	"5"	9	7
4	2	2	"5"	10	6
4	2	2	"6"	6	5
4	2	2	"6"	7	5
4	2	2	"6"	8	6
4	2	2	"6"	9	5
4	2	2	"6"	10	6
4	2	2	"7"	6	4
4	2	2	"7"	7	5
4	2	2	"7"	8	5
4	2	2	"7"	9	5
4	2	2	"7"	10	5
4	2	2	"8"	6	6
4	2	2	"8"	7	8
4	2	2	"8"	8	8
4	2	2	"8"	9	7
4	2	2	"8"	10	7
4	2	2	"9"	6	6
4	2	2	"9"	7	6
4	2	2	"9"	8	6
4	2	2	"9"	9	7
4	2	2	"9"	10	7
4	2	2	"10"	6	6
4	2	2	"10"	7	5
4	2	2	"10"	8	8
4	2	2	"10"	9	7
4	2	2	"10"	10	9
5	1	1	"1"	1	5
5	1	1	"1"	2	2
5	1	1	"1"	3	6
5	1	1	"1"	4	3
5	1	1	"1"	5	6
5	1	1	"2"	1	1
5	1	1	"2"	2	7
5	1	1	"2"	3	5
5	1	1	"2"	4	8
5	1	1	"2"	5	7
5	1	1	"3"	1	2
5	1	1	"3"	2	2
5	1	1	"3"	3	3
5	1	1	"3"	4	4
5	1	1	"3"	5	6
5	1	1	"4"	1	5
5	1	1	"4"	2	4
5	1	1	"4"	3	5
5	1	1	"4"	4	6
5	1	1	"4"	5	6
5	1	1	"5"	1	7
5	1	1	"5"	2	3
5	1	1	"5"	3	5
5	1	1	"5"	4	6
5	1	1	"5"	5	4
5	1	1	"6"	1	7
5	1	1	"6"	2	3
5	1	1	"6"	3	8
5	1	1	"6"	4	7
5	1	1	"6"	5	9
5	1	1	"7"	1	2
5	1	1	"7"	2	4
5	1	1	"7"	3	8
5	1	1	"7"	4	7
5	1	1	"7"	5	9
5	1	1	"8"	1	3
5	1	1	"8"	2	4
5	1	1	"8"	3	6
5	1	1	"8"	4	7
5	1	1	"8"	5	6
5	1	1	"9"	1	6
5	1	1	"9"	2	4
5	1	1	"9"	3	7
5	1	1	"9"	4	6
5	1	1	"9"	5	5
5	1	1	"10"	1	7
5	1	1	"10"	2	4
5	1	1	"10"	3	8
5	1	1	"10"	4	9
5	1	1	"10"	5	8
5	1	2	"1"	6	7
5	1	2	"1"	7	5
5	1	2	"1"	8	9
5	1	2	"1"	9	8
5	1	2	"1"	10	8
5	1	2	"2"	6	8
5	1	2	"2"	7	6
5	1	2	"2"	8	7
5	1	2	"2"	9	9
5	1	2	"2"	10	7
5	1	2	"3"	6	7
5	1	2	"3"	7	6
5	1	2	"3"	8	9
5	1	2	"3"	9	9
5	1	2	"3"	10	9
5	1	2	"4"	6	6
5	1	2	"4"	7	7
5	1	2	"4"	8	8
5	1	2	"4"	9	9
5	1	2	"4"	10	7
5	1	2	"5"	6	6
5	1	2	"5"	7	5
5	1	2	"5"	8	9
5	1	2	"5"	9	7
5	1	2	"5"	10	8
5	1	2	"6"	6	7
5	1	2	"6"	7	7
5	1	2	"6"	8	9
5	1	2	"6"	9	8
5	1	2	"6"	10	9
5	1	2	"7"	6	5
5	1	2	"7"	7	7
5	1	2	"7"	8	8
5	1	2	"7"	9	8
5	1	2	"7"	10	9
5	1	2	"8"	6	6
5	1	2	"8"	7	9
5	1	2	"8"	8	8
5	1	2	"8"	9	7
5	1	2	"8"	10	8
5	1	2	"9"	6	4
5	1	2	"9"	7	3
5	1	2	"9"	8	7
5	1	2	"9"	9	6
5	1	2	"9"	10	9
5	1	2	"10"	6	7
5	1	2	"10"	7	4
5	1	2	"10"	8	9
5	1	2	"10"	9	8
5	1	2	"10"	10	6
6	2	1	"1"	11	7
6	2	1	"1"	12	8
6	2	1	"1"	13	9
6	2	1	"1"	14	9
6	2	1	"1"	15	9
6	2	1	"2"	11	8
6	2	1	"2"	12	8
6	2	1	"2"	13	9
6	2	1	"2"	14	9
6	2	1	"2"	15	9
6	2	1	"3"	11	8
6	2	1	"3"	12	8
6	2	1	"3"	13	8
6	2	1	"3"	14	9
6	2	1	"3"	15	9
6	2	1	"4"	11	8
6	2	1	"4"	12	9
6	2	1	"4"	13	8
6	2	1	"4"	14	9
6	2	1	"4"	15	9
6	2	1	"5"	11	8
6	2	1	"5"	12	8
6	2	1	"5"	13	9
6	2	1	"5"	14	9
6	2	1	"5"	15	9
6	2	1	"6"	11	8
6	2	1	"6"	12	8
6	2	1	"6"	13	8
6	2	1	"6"	14	9
6	2	1	"6"	15	9
6	2	1	"7"	11	8
6	2	1	"7"	12	8
6	2	1	"7"	13	9
6	2	1	"7"	14	8
6	2	1	"7"	15	9
6	2	1	"8"	11	8
6	2	1	"8"	12	8
6	2	1	"8"	13	9
6	2	1	"8"	14	8
6	2	1	"8"	15	8
6	2	1	"9"	11	8
6	2	1	"9"	12	8
6	2	1	"9"	13	9
6	2	1	"9"	14	9
6	2	1	"9"	15	9
6	2	1	"10"	11	9
6	2	1	"10"	12	8
6	2	1	"10"	13	9
6	2	1	"10"	14	9
6	2	1	"10"	15	9
6	2	2	"1"	6	8
6	2	2	"1"	7	3
6	2	2	"1"	8	8
6	2	2	"1"	9	8
6	2	2	"1"	10	9
6	2	2	"2"	6	7
6	2	2	"2"	7	7
6	2	2	"2"	8	8
6	2	2	"2"	9	8
6	2	2	"2"	10	8
6	2	2	"3"	6	7
6	2	2	"3"	7	7
6	2	2	"3"	8	7
6	2	2	"3"	9	8
6	2	2	"3"	10	8
6	2	2	"4"	6	8
6	2	2	"4"	7	8
6	2	2	"4"	8	9
6	2	2	"4"	9	8
6	2	2	"4"	10	9
6	2	2	"5"	6	9
6	2	2	"5"	7	7
6	2	2	"5"	8	8
6	2	2	"5"	9	8
6	2	2	"5"	10	9
6	2	2	"6"	6	8
6	2	2	"6"	7	8
6	2	2	"6"	8	8
6	2	2	"6"	9	9
6	2	2	"6"	10	9
6	2	2	"7"	6	8
6	2	2	"7"	7	7
6	2	2	"7"	8	8
6	2	2	"7"	9	9
6	2	2	"7"	10	9
6	2	2	"8"	6	8
6	2	2	"8"	7	9
6	2	2	"8"	8	8
6	2	2	"8"	9	9
6	2	2	"8"	10	9
6	2	2	"9"	6	8
6	2	2	"9"	7	8
6	2	2	"9"	8	9
6	2	2	"9"	9	8
6	2	2	"9"	10	9
6	2	2	"10"	6	8
6	2	2	"10"	7	9
6	2	2	"10"	8	9
6	2	2	"10"	9	9
6	2	2	"10"	10	9
7	2	1	"1"	11	9
7	2	1	"1"	12	8
7	2	1	"1"	13	8
7	2	1	"1"	14	7
7	2	1	"1"	15	9
7	2	1	"2"	11	7
7	2	1	"2"	12	8
7	2	1	"2"	13	8
7	2	1	"2"	14	8
7	2	1	"2"	15	7
7	2	1	"3"	11	8
7	2	1	"3"	12	7
7	2	1	"3"	13	7
7	2	1	"3"	14	9
7	2	1	"3"	15	9
7	2	1	"4"	11	7
7	2	1	"4"	12	8
7	2	1	"4"	13	7
7	2	1	"4"	14	7
7	2	1	"4"	15	9
7	2	1	"5"	11	7
7	2	1	"5"	12	8
7	2	1	"5"	13	8
7	2	1	"5"	14	8
7	2	1	"5"	15	9
7	2	1	"6"	11	7
7	2	1	"6"	12	9
7	2	1	"6"	13	7
7	2	1	"6"	14	8
7	2	1	"6"	15	9
7	2	1	"7"	11	5
7	2	1	"7"	12	8
7	2	1	"7"	13	7
7	2	1	"7"	14	8
7	2	1	"7"	15	9
7	2	1	"8"	11	7
7	2	1	"8"	12	8
7	2	1	"8"	13	9
7	2	1	"8"	14	9
7	2	1	"8"	15	9
7	2	1	"9"	11	6
7	2	1	"9"	12	7
7	2	1	"9"	13	8
7	2	1	"9"	14	8
7	2	1	"9"	15	9
7	2	1	"10"	11	6
7	2	1	"10"	12	8
7	2	1	"10"	13	8
7	2	1	"10"	14	8
7	2	1	"10"	15	9
7	2	2	"1"	6	6
7	2	2	"1"	7	6
7	2	2	"1"	8	7
7	2	2	"1"	9	7
7	2	2	"1"	10	5
7	2	2	"2"	6	5
7	2	2	"2"	7	5
7	2	2	"2"	8	6
7	2	2	"2"	9	7
7	2	2	"2"	10	7
7	2	2	"3"	6	5
7	2	2	"3"	7	7
7	2	2	"3"	8	7
7	2	2	"3"	9	7
7	2	2	"3"	10	8
7	2	2	"4"	6	6
7	2	2	"4"	7	7
7	2	2	"4"	8	7
7	2	2	"4"	9	6
7	2	2	"4"	10	8
7	2	2	"5"	6	5
7	2	2	"5"	7	6
7	2	2	"5"	8	7
7	2	2	"5"	9	7
7	2	2	"5"	10	8
7	2	2	"6"	6	5
7	2	2	"6"	7	7
7	2	2	"6"	8	8
7	2	2	"6"	9	8
7	2	2	"6"	10	8
7	2	2	"7"	6	6
7	2	2	"7"	7	7
7	2	2	"7"	8	8
7	2	2	"7"	9	8
7	2	2	"7"	10	7
7	2	2	"8"	6	6
7	2	2	"8"	7	6
7	2	2	"8"	8	7
7	2	2	"8"	9	7
7	2	2	"8"	10	8
7	2	2	"9"	6	5
7	2	2	"9"	7	6
7	2	2	"9"	8	7
7	2	2	"9"	9	7
7	2	2	"9"	10	8
7	2	2	"10"	6	6
7	2	2	"10"	7	5
7	2	2	"10"	8	6
7	2	2	"10"	9	8
7	2	2	"10"	10	8
8	2	1	"1"	11	5
8	2	1	"1"	12	7
8	2	1	"1"	13	6
8	2	1	"1"	14	8
8	2	1	"1"	15	8
8	2	1	"2"	11	7
8	2	1	"2"	12	6
8	2	1	"2"	13	9
8	2	1	"2"	14	7
8	2	1	"2"	15	8
8	2	1	"3"	11	7
8	2	1	"3"	12	8
8	2	1	"3"	13	9
8	2	1	"3"	14	5
8	2	1	"3"	15	8
8	2	1	"4"	11	7
8	2	1	"4"	12	9
8	2	1	"4"	13	8
8	2	1	"4"	14	7
8	2	1	"4"	15	9
8	2	1	"5"	11	8
8	2	1	"5"	12	7
8	2	1	"5"	13	7
8	2	1	"5"	14	8
8	2	1	"5"	15	9
8	2	1	"6"	11	5
8	2	1	"6"	12	6
8	2	1	"6"	13	7
8	2	1	"6"	14	9
8	2	1	"6"	15	9
8	2	1	"7"	11	4
8	2	1	"7"	12	7
8	2	1	"7"	13	5
8	2	1	"7"	14	8
8	2	1	"7"	15	6
8	2	1	"8"	11	5
8	2	1	"8"	12	6
8	2	1	"8"	13	7
8	2	1	"8"	14	6
8	2	1	"8"	15	9
8	2	1	"9"	11	6
8	2	1	"9"	12	9
8	2	1	"9"	13	9
8	2	1	"9"	14	7
8	2	1	"9"	15	8
8	2	1	"10"	11	8
8	2	1	"10"	12	9
8	2	1	"10"	13	7
8	2	1	"10"	14	9
8	2	1	"10"	15	9
8	2	2	"1"	6	3
8	2	2	"1"	7	2
